year,month,prefecture,foreign_total,korea,china,taiwan,usa,hongkong,thailand,singapore,australia,korea_visitors,china_visitors,taiwan_visitors,usa_visitors,hongkong_visitors,thailand_visitors,singapore_visitors,australia_visitors,avg_temp,rainfall
2023,1,北海道,623500,165590,30650,113440,21310,67740,36730,24430,50030,565251,31291,259340,88114,151939,63431,26658,52553,-4.4,71.5
2023,1,東京都,1976570,294080,134610,259290,222010,194350,72800,72720,127350,565251,31291,259340,88114,151939,63431,26658,52553,5.7,15.5
2023,1,長野県,123020,4000,4680,30650,3740,26790,7700,4210,19350,565251,31291,259340,88114,151939,63431,26658,52553,-0.1,23.0
2023,1,愛知県,94070,12500,6020,14740,3160,9640,9450,3050,1840,565251,31291,259340,88114,151939,63431,26658,52553,5.2,25.0
2023,1,京都府,409500,62520,20210,70840,41800,34730,5330,14470,23270,565251,31291,259340,88114,151939,63431,26658,52553,5.1,39.0
2023,1,大阪府,745160,252340,40350,94400,26740,89020,22940,23100,20670,565251,31291,259340,88114,151939,63431,26658,52553,6.5,46.0
2023,1,広島県,23530,1260,1050,4160,3810,730,440,740,2790,565251,31291,259340,88114,151939,63431,26658,52553,5.7,45.5
2023,1,福岡県,292630,182790,12380,32550,4190,16970,15390,2910,1700,565251,31291,259340,88114,151939,63431,26658,52553,7.2,97.0
2023,1,鹿児島県,17030,9500,640,1920,660,940,130,260,220,565251,31291,259340,88114,151939,63431,26658,52553,9.0,88.0
2023,1,沖縄県,161260,44340,6560,40770,26060,18510,490,660,720,565251,31291,259340,88114,151939,63431,26658,52553,17.5,55.0
2023,2,北海道,602600,151170,26370,121990,37390,57510,53010,22960,29630,568622,36285,248493,86946,119405,73292,27078,37680,-2.7,104.0
2023,2,東京都,1829590,343800,121630,240560,222050,137570,77140,71860,93210,568622,36285,248493,86946,119405,73292,27078,37680,7.3,40.5
2023,2,長野県,103420,2990,2760,28920,2660,18690,6720,4240,16760,568622,36285,248493,86946,119405,73292,27078,37680,1.0,24.5
2023,2,愛知県,83750,12120,5120,13740,3420,7750,10130,2470,1210,568622,36285,248493,86946,119405,73292,27078,37680,6.5,44.0
2023,2,京都府,347100,51830,16100,63390,40000,31500,6080,13740,18020,568622,36285,248493,86946,119405,73292,27078,37680,6.0,36.0
2023,2,大阪府,759480,274190,46150,110650,24660,59530,25270,19260,18490,568622,36285,248493,86946,119405,73292,27078,37680,7.0,33.5
